"Nazwa";"Marka";"Kategorie (x,y,z...)";"Cena zawiera podatek. (brutto)";"Podsumowanie";"Opis";"Adresy URL zdjęcia (x,y,z...)";"Ilość"
"Radeon R7 240 2GB GDDR5";"PowerColor";"Karty graficzne AMD";319;"Układ: Radeon™ R7 240<br/>Pamięć: 2 GB<br/>Rodzaj pamięci: GDDR5<br/>Złącza: HDMI - 1 szt., DVI-D - 1 szt.<br/>Taktowanie pamięci: 1150 MHz";"Układ: Radeon™ R7 240<br/>Pamięć: 2 GB<br/>Rodzaj pamięci: GDDR5<br/>Złącza: HDMI - 1 szt., DVI-D - 1 szt.<br/>Taktowanie pamięci: 1150 MHz";"http://127.0.0.1/product_images/pr_2022_6_20_12_36_42_326_03.jpg";100
"Radeon RX 6750 XT Speedster MERC319 12GB GDDR6 ";"XFX";"Karty graficzne AMD";3759;"Układ: Radeon™ RX 6750 XT<br/>Pamięć: 12 GB<br/>Rodzaj pamięci: GDDR6<br/>Złącza: HDMI 2.1 - 1 szt., DisplayPort 1.4a - 3 szt.<br/>Taktowanie pamięci: 18000 MHz<br/>Taktowanie rdzenia: 2324 MHz";"Układ: Radeon™ RX 6750 XT<br/>Pamięć: 12 GB<br/>Rodzaj pamięci: GDDR6<br/>Złącza: HDMI 2.1 - 1 szt., DisplayPort 1.4a - 3 szt.<br/>Taktowanie pamięci: 18000 MHz<br/>Taktowanie rdzenia: 2324 MHz";"http://127.0.0.1/product_images/pr_2022_5_10_14_7_28_920_06.jpg";100
"Radeon RX 6750 XT Speedster Ultra QICK319 12GB GDDR6";"XFX";"Karty graficzne AMD";2799;"Układ: Radeon™ RX 6750 XT<br/>Pamięć: 12 GB<br/>Rodzaj pamięci: GDDR6<br/>Złącza: HDMI 2.1 - 1 szt., DisplayPort 1.4a - 3 szt.<br/>Taktowanie pamięci: 18000 MHz<br/>Taktowanie rdzenia: 2283 MHz";"Układ: Radeon™ RX 6750 XT<br/>Pamięć: 12 GB<br/>Rodzaj pamięci: GDDR6<br/>Złącza: HDMI 2.1 - 1 szt., DisplayPort 1.4a - 3 szt.<br/>Taktowanie pamięci: 18000 MHz<br/>Taktowanie rdzenia: 2283 MHz";"http://127.0.0.1/product_images/pr_2022_5_10_14_18_2_45_04.jpg";100
"Radeon RX 6650 XT Speedster MERC308 8GB GDDR6 ";"XFX";"Karty graficzne AMD";2569;"Układ: Radeon™ RX 6650 XT<br/>Pamięć: 8 GB<br/>Rodzaj pamięci: GDDR6<br/>Złącza: HDMI 2.1 - 1 szt., DisplayPort 1.4a - 3 szt.<br/>Taktowanie pamięci: 17500 MHz<br/>Taktowanie rdzenia: 2192 MHz";"Układ: Radeon™ RX 6650 XT<br/>Pamięć: 8 GB<br/>Rodzaj pamięci: GDDR6<br/>Złącza: HDMI 2.1 - 1 szt., DisplayPort 1.4a - 3 szt.<br/>Taktowanie pamięci: 17500 MHz<br/>Taktowanie rdzenia: 2192 MHz";"http://127.0.0.1/product_images/pr_2022_5_10_14_26_11_158_05.jpg";100
"Radeon RX 6650 XT Ultra QICK308 8GB GDDR6";"XFX";"Karty graficzne AMD";2549;"Układ: Radeon™ RX 6650 XT<br/>Pamięć: 8 GB<br/>Rodzaj pamięci: GDDR6<br/>Złącza: HDMI 2.1 - 1 szt., DisplayPort 1.4a - 3 szt.<br/>Taktowanie pamięci: 17500 MHz<br/>Taktowanie rdzenia: 2153 MHz";"Układ: Radeon™ RX 6650 XT<br/>Pamięć: 8 GB<br/>Rodzaj pamięci: GDDR6<br/>Złącza: HDMI 2.1 - 1 szt., DisplayPort 1.4a - 3 szt.<br/>Taktowanie pamięci: 17500 MHz<br/>Taktowanie rdzenia: 2153 MHz";"http://127.0.0.1/product_images/pr_2022_5_10_13_51_21_943_00.jpg";100
"Radeon RX 6650 XT NITRO GAMING OC 8GB GDDR6";"Sapphire";"Karty graficzne AMD";2029;"Układ: Radeon™ RX 6650 XT<br/>Pamięć: 8 GB<br/>Rodzaj pamięci: GDDR6<br/>Złącza: HDMI 2.1 - 1 szt., DisplayPort 1.4a - 3 szt.<br/>Taktowanie pamięci: 17500 MHz";"Układ: Radeon™ RX 6650 XT<br/>Pamięć: 8 GB<br/>Rodzaj pamięci: GDDR6<br/>Złącza: HDMI 2.1 - 1 szt., DisplayPort 1.4a - 3 szt.<br/>Taktowanie pamięci: 17500 MHz";"http://127.0.0.1/product_images/pr_2022_5_11_9_24_57_338_05.jpg";100
"Radeon RX 6400 Phoenix 4GB GDDR6";"ASUS";"Karty graficzne AMD";1079;"Układ: Radeon™ RX 6400<br/>Pamięć: 4 GB<br/>Rodzaj pamięci: GDDR6<br/>Złącza: HDMI 2.1 - 1 szt., DisplayPort 1.4a - 1 szt.<br/>Taktowanie pamięci: 16000 MHz";"Układ: Radeon™ RX 6400<br/>Pamięć: 4 GB<br/>Rodzaj pamięci: GDDR6<br/>Złącza: HDMI 2.1 - 1 szt., DisplayPort 1.4a - 1 szt.<br/>Taktowanie pamięci: 16000 MHz";"http://127.0.0.1/product_images/pr_2022_5_11_14_20_12_442_03.jpg";100
"Radeon RX 6650 XT EAGLE 8GB GDDR6";"Gigabyte";"Karty graficzne AMD";2599;"Układ: Radeon™ RX 6650 XT<br/>Pamięć: 8 GB<br/>Rodzaj pamięci: GDDR6<br/>Złącza: HDMI 2.1 - 2 szt., DisplayPort 1.4a - 2 szt.<br/>Taktowanie pamięci: 17500 MHz<br/>Taktowanie rdzenia: 2192 MHz";"Układ: Radeon™ RX 6650 XT<br/>Pamięć: 8 GB<br/>Rodzaj pamięci: GDDR6<br/>Złącza: HDMI 2.1 - 2 szt., DisplayPort 1.4a - 2 szt.<br/>Taktowanie pamięci: 17500 MHz<br/>Taktowanie rdzenia: 2192 MHz";"http://127.0.0.1/product_images/pr_2022_5_11_13_4_44_856_07.jpg";100
"Radeon RX 6750 XT GAMING OC 12GB GDDR6";"Gigabyte";"Karty graficzne AMD";3779;"Układ: Radeon™ RX 6750 XT<br/>Pamięć: 12 GB<br/>Rodzaj pamięci: GDDR6<br/>Złącza: HDMI 2.1 - 2 szt., DisplayPort 1.4a - 2 szt.<br/>Taktowanie pamięci: 18000 MHz";"Układ: Radeon™ RX 6750 XT<br/>Pamięć: 12 GB<br/>Rodzaj pamięci: GDDR6<br/>Złącza: HDMI 2.1 - 2 szt., DisplayPort 1.4a - 2 szt.<br/>Taktowanie pamięci: 18000 MHz";"http://127.0.0.1/product_images/pr_2022_5_11_12_22_35_940_07.jpg";100
"Radeon RX 6750 XT AORUS ELITE 12GB GDDR6";"Gigabyte";"Karty graficzne AMD";3299;"Układ: Radeon™ RX 6750 XT<br/>Pamięć: 12 GB<br/>Rodzaj pamięci: GDDR6<br/>Złącza: HDMI 2.1 - 2 szt., DisplayPort 1.4a - 2 szt.<br/>Taktowanie pamięci: 18000 MHz";"Układ: Radeon™ RX 6750 XT<br/>Pamięć: 12 GB<br/>Rodzaj pamięci: GDDR6<br/>Złącza: HDMI 2.1 - 2 szt., DisplayPort 1.4a - 2 szt.<br/>Taktowanie pamięci: 18000 MHz";"http://127.0.0.1/product_images/pr_2022_5_11_12_16_38_497_08.jpg";100
