"Nazwa";"Marka";"Kategorie (x,y,z...)";"Cena zawiera podatek. (brutto)";"Podsumowanie";"Opis";"Adresy URL zdjęcia (x,y,z...)";"Ilość"
"Lix Plus Wireless";"Endorfy";"Myszki bezprzewodowe";279;"Typ myszy: Dla graczy<br/>Sensor: Optyczny<br/>Liczba przycisków: 6<br/>Rozdzielczość: 19000 dpi<br/>Interfejs: 2,4 GHz<br/>Długość przewodu: 1,8 m<br/>Profil: Praworęczny";"Typ myszy: Dla graczy<br/>Sensor: Optyczny<br/>Liczba przycisków: 6<br/>Rozdzielczość: 19000 dpi<br/>Interfejs: 2,4 GHz<br/>Długość przewodu: 1,8 m<br/>Profil: Praworęczny";"http://127.0.0.1/product_images/pr_2022_10_5_12_13_58_177_04.jpg";100
"Lix Plus Wireless Onyx White";"Endorfy";"Myszki bezprzewodowe";279;"Typ myszy: Dla graczy<br/>Sensor: Optyczny<br/>Liczba przycisków: 6<br/>Rozdzielczość: 19000 dpi<br/>Interfejs: 2,4 GHz<br/>Długość przewodu: 1,8 m<br/>Profil: Praworęczny";"Typ myszy: Dla graczy<br/>Sensor: Optyczny<br/>Liczba przycisków: 6<br/>Rozdzielczość: 19000 dpi<br/>Interfejs: 2,4 GHz<br/>Długość przewodu: 1,8 m<br/>Profil: Praworęczny";"http://127.0.0.1/product_images/pr_2022_10_5_12_58_19_552_02.jpg";100
"Lix Wireless Onyx White";"Endorfy";"Myszki bezprzewodowe";229;"Typ myszy: Dla graczy<br/>Sensor: Optyczny<br/>Liczba przycisków: 6<br/>Rozdzielczość: 16000 dpi<br/>Interfejs: 2,4 GHz<br/>Długość przewodu: 1,6 m<br/>Profil: Praworęczny";"Typ myszy: Dla graczy<br/>Sensor: Optyczny<br/>Liczba przycisków: 6<br/>Rozdzielczość: 16000 dpi<br/>Interfejs: 2,4 GHz<br/>Długość przewodu: 1,6 m<br/>Profil: Praworęczny";"http://127.0.0.1/product_images/pr_2022_10_5_13_43_59_167_00.jpg";100
"GXT980 REDEX WIRELESS MOUSE";"Trust";"Myszki bezprzewodowe";179;"Typ myszy: Dla graczy<br/>Sensor: Optyczny<br/>Liczba przycisków: 6<br/>Rozdzielczość: 10000 dpi<br/>Interfejs: 2,4 GHz<br/>Czas pracy na baterii: Do 50 godzin<br/>Profil: Praworęczny";"Typ myszy: Dla graczy<br/>Sensor: Optyczny<br/>Liczba przycisków: 6<br/>Rozdzielczość: 10000 dpi<br/>Interfejs: 2,4 GHz<br/>Czas pracy na baterii: Do 50 godzin<br/>Profil: Praworęczny";"http://127.0.0.1/product_images/pr_2022_9_15_11_18_2_551_01.jpg";100
"Burst Pro Air (biała)";"Roccat";"Myszki bezprzewodowe";469.99;"Typ myszy: Dla graczy<br/>Sensor: Optyczny<br/>Liczba przycisków: 6<br/>Rozdzielczość: 19000 dpi<br/>Interfejs: 2,4 GHz, Bluetooth<br/>Czas pracy na baterii: Do 100 godzin<br/>Długość przewodu: 1,8 m<br/>Profil: Praworęczny";"Typ myszy: Dla graczy<br/>Sensor: Optyczny<br/>Liczba przycisków: 6<br/>Rozdzielczość: 19000 dpi<br/>Interfejs: 2,4 GHz, Bluetooth<br/>Czas pracy na baterii: Do 100 godzin<br/>Długość przewodu: 1,8 m<br/>Profil: Praworęczny";"http://127.0.0.1/product_images/pr_2022_9_1_13_30_9_766_02.jpg";100
"Burst Pro Air";"Roccat";"Myszki bezprzewodowe";469.99;"Typ myszy: Dla graczy<br/>Sensor: Optyczny<br/>Liczba przycisków: 6<br/>Rozdzielczość: 19000 dpi<br/>Interfejs: 2,4 GHz, Bluetooth<br/>Czas pracy na baterii: Do 100 godzin<br/>Długość przewodu: 1,8 m<br/>Profil: Praworęczny";"Typ myszy: Dla graczy<br/>Sensor: Optyczny<br/>Liczba przycisków: 6<br/>Rozdzielczość: 19000 dpi<br/>Interfejs: 2,4 GHz, Bluetooth<br/>Czas pracy na baterii: Do 100 godzin<br/>Długość przewodu: 1,8 m<br/>Profil: Praworęczny";"http://127.0.0.1/product_images/pr_2022_9_1_13_27_20_745_07.jpg";100
"G705";"Logitech";"Myszki bezprzewodowe";399;"Typ myszy: Dla graczy, Mobilna<br/>Sensor: Optyczny<br/>Liczba przycisków: 6<br/>Rozdzielczość: 8200 dpi<br/>Interfejs: Bluetooth, USB<br/>Czas pracy na baterii: Do 40 godzin<br/>Profil: Praworęczny";"Typ myszy: Dla graczy, Mobilna<br/>Sensor: Optyczny<br/>Liczba przycisków: 6<br/>Rozdzielczość: 8200 dpi<br/>Interfejs: Bluetooth, USB<br/>Czas pracy na baterii: Do 40 godzin<br/>Profil: Praworęczny";"http://127.0.0.1/product_images/pr_2022_8_10_9_57_31_837_03.jpg";100
"ROG Chakram X";"ASUS";"Myszki bezprzewodowe";799;"Typ myszy: Dla graczy<br/>Sensor: Optyczny<br/>Liczba przycisków: 11<br/>Rozdzielczość: 36000 dpi<br/>Interfejs: 2,4 GHz, Bluetooth, USB<br/>Czas pracy na baterii: Do 114 godzin<br/>Długość przewodu: 2 m<br/>Profil: Praworęczny";"Typ myszy: Dla graczy<br/>Sensor: Optyczny<br/>Liczba przycisków: 11<br/>Rozdzielczość: 36000 dpi<br/>Interfejs: 2,4 GHz, Bluetooth, USB<br/>Czas pracy na baterii: Do 114 godzin<br/>Długość przewodu: 2 m<br/>Profil: Praworęczny";"http://127.0.0.1/product_images/pr_2022_5_25_15_11_59_899_05.jpg";100
"Haste Wireless (biały)";"HyperX";"Myszki bezprzewodowe";449;"Typ myszy: Dla graczy<br/>Sensor: Optyczny<br/>Liczba przycisków: 6<br/>Rozdzielczość: 16000 dpi<br/>Interfejs: 2,4 GHz, USB<br/>Czas pracy na baterii: Do 100 godzin<br/>Długość przewodu: 1,8 m<br/>Profil: Praworęczny";"Typ myszy: Dla graczy<br/>Sensor: Optyczny<br/>Liczba przycisków: 6<br/>Rozdzielczość: 16000 dpi<br/>Interfejs: 2,4 GHz, USB<br/>Czas pracy na baterii: Do 100 godzin<br/>Długość przewodu: 1,8 m<br/>Profil: Praworęczny";"http://127.0.0.1/product_images/pr_2022_3_24_15_32_47_603_00.jpg";100
"Orochi V2 biała";"Razer";"Myszki bezprzewodowe";299;"Typ myszy: Dla graczy<br/>Sensor: Optyczny<br/>Liczba przycisków: 6<br/>Rozdzielczość: 18000 dpi<br/>Interfejs: 2,4 GHz, Bluetooth<br/>Czas pracy na baterii: Do 425 godzin - Tryb 2.4 GHz, Do 950 godzin - Tryb Bluetooth<br/>Profil: Praworęczny";"Typ myszy: Dla graczy<br/>Sensor: Optyczny<br/>Liczba przycisków: 6<br/>Rozdzielczość: 18000 dpi<br/>Interfejs: 2,4 GHz, Bluetooth<br/>Czas pracy na baterii: Do 425 godzin - Tryb 2.4 GHz, Do 950 godzin - Tryb Bluetooth<br/>Profil: Praworęczny";"http://127.0.0.1/product_images/pr_2022_2_2_14_15_13_114_00.jpg";100
"ROG STRIX IMPACT II WIRELESS";"ASUS";"Myszki bezprzewodowe";399;"Typ myszy: Dla graczy<br/>Sensor: Optyczny<br/>Liczba przycisków: 5<br/>Rozdzielczość: 16000 dpi<br/>Interfejs: 2,4 GHz, USB<br/>Długość przewodu: 2 m<br/>Profil: Praworęczny";"Typ myszy: Dla graczy<br/>Sensor: Optyczny<br/>Liczba przycisków: 5<br/>Rozdzielczość: 16000 dpi<br/>Interfejs: 2,4 GHz, USB<br/>Długość przewodu: 2 m<br/>Profil: Praworęczny";"http://127.0.0.1/product_images/pr_2022_1_18_14_22_45_530_00.jpg";100
"ROG KERIS WIRELESS";"ASUS";"Myszki bezprzewodowe";499;"Typ myszy: Dla graczy<br/>Sensor: Optyczny<br/>Liczba przycisków: 7<br/>Rozdzielczość: 16000 dpi<br/>Interfejs: 2,4 GHz, Bluetooth, USB<br/>Czas pracy na baterii: Do 78 godzin<br/>Długość przewodu: 2 m<br/>Profil: Praworęczny";"Typ myszy: Dla graczy<br/>Sensor: Optyczny<br/>Liczba przycisków: 7<br/>Rozdzielczość: 16000 dpi<br/>Interfejs: 2,4 GHz, Bluetooth, USB<br/>Czas pracy na baterii: Do 78 godzin<br/>Długość przewodu: 2 m<br/>Profil: Praworęczny";"http://127.0.0.1/product_images/pr_2022_1_18_13_55_11_763_00.jpg";100
"ROG PUGIO II ";"ASUS";"Myszki bezprzewodowe";549;"Typ myszy: Dla graczy<br/>Sensor: Optyczny<br/>Liczba przycisków: 9<br/>Rozdzielczość: 16000 dpi<br/>Interfejs: 2,4 GHz, Bluetooth, USB<br/>Czas pracy na baterii: Do 69 godzin<br/>Długość przewodu: 2 m<br/>Profil: Praworęczny";"Typ myszy: Dla graczy<br/>Sensor: Optyczny<br/>Liczba przycisków: 9<br/>Rozdzielczość: 16000 dpi<br/>Interfejs: 2,4 GHz, Bluetooth, USB<br/>Czas pracy na baterii: Do 69 godzin<br/>Długość przewodu: 2 m<br/>Profil: Praworęczny";"http://127.0.0.1/product_images/pr_2022_1_18_16_7_20_826_03.jpg";100
"ROG SPATHA X";"ASUS";"Myszki bezprzewodowe";799;"Typ myszy: Dla graczy<br/>Sensor: Optyczny<br/>Liczba przycisków: 12<br/>Rozdzielczość: 19000 dpi<br/>Interfejs: 2,4 GHz, USB<br/>Czas pracy na baterii: Do 67 godzin<br/>Długość przewodu: 2 m<br/>Profil: Praworęczny";"Typ myszy: Dla graczy<br/>Sensor: Optyczny<br/>Liczba przycisków: 12<br/>Rozdzielczość: 19000 dpi<br/>Interfejs: 2,4 GHz, USB<br/>Czas pracy na baterii: Do 67 godzin<br/>Długość przewodu: 2 m<br/>Profil: Praworęczny";"http://127.0.0.1/product_images/pr_2022_1_18_14_54_15_501_00.jpg";100
