"Nazwa";"Marka";"Kategorie (x,y,z...)";"Cena zawiera podatek. (brutto)";"Podsumowanie";"Opis";"Adresy URL zdjęcia (x,y,z...)";"Ilość"
"Quest 2 - 128 GB";"Oculus";"Gogle VR";2349;"Kompatybilność: PC<br/>Rozdzielczość ekranu: 3664 x 1920<br/>Dźwięk: Wbudowany mikrofon, Wbudowane głośniki<br/>Czujniki: Akcelerometr, Magnetometr, Żyroskop";"Kompatybilność: PC<br/>Rozdzielczość ekranu: 3664 x 1920<br/>Dźwięk: Wbudowany mikrofon, Wbudowane głośniki<br/>Czujniki: Akcelerometr, Magnetometr, Żyroskop";"http://127.0.0.1/product_images/pr_2020_9_29_11_7_31_950_04.jpg";100
"Reverb G2";"HP";"Gogle VR";3199;"Kompatybilność: PC, SteamVR<br/>Rozdzielczość ekranu: 4320 x 2160<br/>Pole widzenia: 114º<br/>Dźwięk: Wbudowane głośniki<br/>Czujniki: Akcelerometr, Magnetometr, Żyroskop, 6DoF";"Kompatybilność: PC, SteamVR<br/>Rozdzielczość ekranu: 4320 x 2160<br/>Pole widzenia: 114º<br/>Dźwięk: Wbudowane głośniki<br/>Czujniki: Akcelerometr, Magnetometr, Żyroskop, 6DoF";"http://127.0.0.1/product_images/pr_2021_8_17_13_18_36_219_03.jpg";100
"Quest 2 - 256 GB";"Oculus";"Gogle VR";2869;"Kompatybilność: PC<br/>Rozdzielczość ekranu: 3664 x 1920<br/>Dźwięk: Wbudowany mikrofon, Wbudowane głośniki<br/>Czujniki: Akcelerometr, Magnetometr, Żyroskop";"Kompatybilność: PC<br/>Rozdzielczość ekranu: 3664 x 1920<br/>Dźwięk: Wbudowany mikrofon, Wbudowane głośniki<br/>Czujniki: Akcelerometr, Magnetometr, Żyroskop";"http://127.0.0.1/product_images/pr_2020_9_29_11_7_31_950_04.jpg";100
"VIVE Pro Full Kit";"HTC";"Gogle VR";3849;"Kompatybilność: PC, SteamVR, Viveport<br/>Rozdzielczość ekranu: 2880 x 1600<br/>Pole widzenia: 110º<br/>Dźwięk: Wbudowany podwójny mikrofon, Wbudowane złącze audio<br/>Czujniki: Akcelerometr, Żyroskop, Śledzenie laserowe, Wsparcie dla Lighthouse 2.0";"Kompatybilność: PC, SteamVR, Viveport<br/>Rozdzielczość ekranu: 2880 x 1600<br/>Pole widzenia: 110º<br/>Dźwięk: Wbudowany podwójny mikrofon, Wbudowane złącze audio<br/>Czujniki: Akcelerometr, Żyroskop, Śledzenie laserowe, Wsparcie dla Lighthouse 2.0";"http://127.0.0.1/product_images/pr_2018_7_16_10_43_47_941_00.jpg";100
"VIVE Pro 2 Full Kit";"HTC";"Gogle VR";6249;"Kompatybilność: PC<br/>Rozdzielczość ekranu: 4896 x 2448<br/>Pole widzenia: 120º<br/>Dźwięk: Wbudowany podwójny mikrofon, Zestaw słuchawkowy Hi-Res<br/>Czujniki: Akcelerometr, Żyroskop, Śledzenie laserowe, Wsparcie dla Lighthouse 2.0, Czujnik bliskości";"Kompatybilność: PC<br/>Rozdzielczość ekranu: 4896 x 2448<br/>Pole widzenia: 120º<br/>Dźwięk: Wbudowany podwójny mikrofon, Zestaw słuchawkowy Hi-Res<br/>Czujniki: Akcelerometr, Żyroskop, Śledzenie laserowe, Wsparcie dla Lighthouse 2.0, Czujnik bliskości";"http://127.0.0.1/product_images/pr_2021_9_22_15_40_31_533_00.jpg";100
"Vive Pro 2 Headset";"HTC";"Gogle VR";3349;"Kompatybilność: PC<br/>Rozdzielczość ekranu: 4896 x 2448<br/>Pole widzenia: 120º<br/>Dźwięk: Wbudowany podwójny mikrofon, Zestaw słuchawkowy Hi-Res<br/>Czujniki: Akcelerometr, Żyroskop, Śledzenie laserowe, Wsparcie dla Lighthouse 2.0, Czujnik bliskości";"Kompatybilność: PC<br/>Rozdzielczość ekranu: 4896 x 2448<br/>Pole widzenia: 120º<br/>Dźwięk: Wbudowany podwójny mikrofon, Zestaw słuchawkowy Hi-Res<br/>Czujniki: Akcelerometr, Żyroskop, Śledzenie laserowe, Wsparcie dla Lighthouse 2.0, Czujnik bliskości";"http://127.0.0.1/product_images/pr_2021_5_11_19_29_57_337_00.jpg";100
"Focus 3 - Business Edition";"HTC";"Gogle VR";6699;"Kompatybilność: PC<br/>Rozdzielczość ekranu: 4896 x 2448<br/>Pole widzenia: 120º<br/>Dźwięk: Wbudowany podwójny mikrofon, Wbudowane głośniki<br/>Czujniki: Akcelerometr, Żyroskop, Czujnik bliskości";"Kompatybilność: PC<br/>Rozdzielczość ekranu: 4896 x 2448<br/>Pole widzenia: 120º<br/>Dźwięk: Wbudowany podwójny mikrofon, Wbudowane głośniki<br/>Czujniki: Akcelerometr, Żyroskop, Czujnik bliskości";"http://127.0.0.1/product_images/pr_2021_5_11_19_35_28_783_00.jpg";100
"VIVE Cosmos Elite";"HTC";"Gogle VR";3999;"Kompatybilność: PC<br/>Rozdzielczość ekranu: 2880 x 1700<br/>Pole widzenia: 110º<br/>Dźwięk: Wbudowany mikrofon, Zestaw słuchawkowy Hi-Res<br/>Czujniki: Akcelerometr, Żyroskop, Śledzenie laserowe";"Kompatybilność: PC<br/>Rozdzielczość ekranu: 2880 x 1700<br/>Pole widzenia: 110º<br/>Dźwięk: Wbudowany mikrofon, Zestaw słuchawkowy Hi-Res<br/>Czujniki: Akcelerometr, Żyroskop, Śledzenie laserowe";"http://127.0.0.1/product_images/pr_2020_3_4_11_39_53_731_06.jpg";100
"VIVE Cosmos";"HTC";"Gogle VR";2999;"Kompatybilność: PC<br/>Rozdzielczość ekranu: 2880 x 1700<br/>Pole widzenia: 110º<br/>Dźwięk: Wbudowany podwójny mikrofon, Zestaw słuchawkowy Hi-Res<br/>Czujniki: Akcelerometr, Żyroskop, Śledzenie laserowe";"Kompatybilność: PC<br/>Rozdzielczość ekranu: 2880 x 1700<br/>Pole widzenia: 110º<br/>Dźwięk: Wbudowany podwójny mikrofon, Zestaw słuchawkowy Hi-Res<br/>Czujniki: Akcelerometr, Żyroskop, Śledzenie laserowe";"http://127.0.0.1/product_images/pr_2019_9_12_10_57_32_781_05.jpg";100
"Vive Pro Eye";"HTC";"Gogle VR";4749;"Kompatybilność: PC, SteamVR, Viveport<br/>Rozdzielczość ekranu: 2880 x 1600<br/>Pole widzenia: 110º<br/>Dźwięk: Wbudowany podwójny mikrofon, Zestaw słuchawkowy Hi-Res<br/>Czujniki: Akcelerometr, Żyroskop, Śledzenie laserowe";"Kompatybilność: PC, SteamVR, Viveport<br/>Rozdzielczość ekranu: 2880 x 1600<br/>Pole widzenia: 110º<br/>Dźwięk: Wbudowany podwójny mikrofon, Zestaw słuchawkowy Hi-Res<br/>Czujniki: Akcelerometr, Żyroskop, Śledzenie laserowe";"http://127.0.0.1/product_images/pr_2019_5_7_11_19_4_293_04.jpg";100
